iter	Passed	Remaining
259	1194	3398
260	1198	3394
261	1203	3389
262	1207	3384
263	1212	3380
264	1217	3376
265	1221	3371
266	1226	3368
267	1231	3364
268	1236	3359
269	1240	3354
270	1245	3351
271	1250	3347
272	1255	3343
273	1260	3339
274	1265	3335
275	1270	3332
276	1275	3328
277	1279	3324
278	1284	3319
279	1288	3314
280	1293	3310
281	1299	3307
282	1304	3304
283	1308	3300
284	1314	3296
285	1318	3291
286	1322	3286
287	1327	3281
288	1331	3276
289	1336	3272
290	1341	3267
291	1345	3263
292	1355	3271
293	1360	3267
294	1365	3263
295	1370	3259
296	1374	3254
297	1379	3248
298	1383	3244
299	1388	3239
300	1392	3233
301	1396	3228
302	1401	3223
303	1405	3217
304	1410	3213
305	1414	3208
306	1418	3202
307	1423	3198
308	1428	3193
309	1432	3189
310	1437	3185
311	1442	3180
312	1446	3174
313	1450	3169
314	1455	3164
315	1459	3158
316	1463	3154
317	1468	3148
318	1472	3143
319	1476	3138
320	1481	3133
321	1485	3127
322	1490	3124
323	1494	3118
324	1498	3113
325	1503	3108
326	1507	3102
327	1511	3097
328	1516	3093
329	1521	3088
330	1525	3082
331	1530	3078
332	1535	3074
333	1539	3069
334	1544	3065
335	1548	3059
336	1552	3054
337	1557	3050
338	1561	3045
339	1565	3039
340	1570	3035
341	1575	3030
342	1580	3026
343	1584	3022
344	1589	3017
345	1593	3012
346	1598	3007
347	1602	3002
348	1606	2996
349	1610	2991
350	1615	2986
351	1619	2980
352	1624	2977
353	1628	2972
354	1634	2968
355	1638	2964
356	1643	2960
357	1647	2954
358	1652	2950
359	1657	2946
360	1662	2941
361	1666	2937
362	1671	2932
363	1675	2928
364	1680	2923
365	1685	2919
366	1689	2914
367	1693	2909
368	1698	2904
369	1703	2900
370	1708	2896
371	1713	2891
372	1717	2887
373	1722	2882
374	1726	2877
375	1731	2873
376	1736	2869
377	1740	2863
378	1744	2859
379	1748	2853
380	1753	2848
381	1757	2843
382	1761	2837
383	1765	2832
384	1769	2826
385	1775	2823
386	1779	2818
387	1783	2813
388	1787	2807
389	1791	2802
390	1795	2796
391	1800	2792
392	1804	2787
393	1808	2782
394	1813	2776
395	1817	2771
396	1821	2766
397	1825	2761
398	1829	2755
399	1833	2750
400	1838	2745
401	1842	2740
402	1846	2734
403	1850	2729
404	1854	2724
405	1858	2718
406	1862	2713
407	1866	2708
408	1870	2703
409	1874	2698
410	1879	2692
411	1882	2687
412	1887	2682
413	1891	2677
414	1895	2672
415	1899	2667
416	1903	2661
417	1908	2656
418	1912	2652
419	1917	2647
420	1921	2642
421	1925	2637
422	1929	2632
423	1934	2627
424	1938	2622
